suite,backbone,seed,dataset,variant,method_label,method_canonical,failure_mode,failure_rate,out_dir,expected_json,argv_json,command,sensitivity_group,sensitivity_param,sensitivity_value,sensitivity_method,default_param_value,is_default_value
sensitivity,gru,0,ETTm1,hetero_h4,CoRA-Core_beta_hardness_0p0,cora_core,none,0.0,results\fgcs_revision\sensitivity\gru\seed_0\ETTm1\hetero_h4\core_beta\beta_hardness_0p0,results\fgcs_revision\sensitivity\gru\seed_0\ETTm1\hetero_h4\core_beta\beta_hardness_0p0\metrics_sens_CoRA-Core_beta_hardness_0p0_ETTm1_hetero_h4.json,"[""C:\\Users\\Weilin\\AppData\\Local\\Programs\\Python\\Python312\\python.exe"", ""-u"", ""D:\\CoRA\\tools\\main_experiment_runner.py"", ""--data_root"", ""data_stress"", ""--dataset"", ""ETTm1"", ""--variant"", ""hetero_h4"", ""--seed"", ""0"", ""--device"", ""cuda"", ""--out_dir"", ""results\\fgcs_revision\\sensitivity\\gru\\seed_0\\ETTm1\\hetero_h4\\core_beta\\beta_hardness_0p0"", ""--tag"", ""sens_CoRA-Core_beta_hardness_0p0"", ""--backbone"", ""gru"", ""--rounds"", ""50"", ""--local_steps"", ""20"", ""--batch_size"", ""64"", ""--eval_every"", ""5"", ""--eval_split"", ""val"", ""--checkpoint_selection"", ""best_val_rmse_avg"", ""--beta_hardness"", ""0.0"", ""--h0"", ""1.0"", ""--rho"", ""0.6"", ""--T_part"", ""15"", ""--T_refresh"", ""5"", ""--K_min"", ""5"", ""--score_floor"", ""1e-9"", ""--stepalloc_min_steps"", ""15"", ""--stepalloc_max_steps"", ""25"", ""--stepalloc_power"", ""1.0"", ""--method"", ""cora_core""]",C:\Users\Weilin\AppData\Local\Programs\Python\Python312\python.exe -u D:\CoRA\tools\main_experiment_runner.py --data_root data_stress --dataset ETTm1 --variant hetero_h4 --seed 0 --device cuda --out_dir results\fgcs_revision\sensitivity\gru\seed_0\ETTm1\hetero_h4\core_beta\beta_hardness_0p0 --tag sens_CoRA-Core_beta_hardness_0p0 --backbone gru --rounds 50 --local_steps 20 --batch_size 64 --eval_every 5 --eval_split val --checkpoint_selection best_val_rmse_avg --beta_hardness 0.0 --h0 1.0 --rho 0.6 --T_part 15 --T_refresh 5 --K_min 5 --score_floor 1e-9 --stepalloc_min_steps 15 --stepalloc_max_steps 25 --stepalloc_power 1.0 --method cora_core,core_beta,beta_hardness,0.0,CoRA-Core,0.7,0
sensitivity,gru,1,ETTm1,hetero_h4,CoRA-Core_beta_hardness_0p0,cora_core,none,0.0,results\fgcs_revision\sensitivity\gru\seed_1\ETTm1\hetero_h4\core_beta\beta_hardness_0p0,results\fgcs_revision\sensitivity\gru\seed_1\ETTm1\hetero_h4\core_beta\beta_hardness_0p0\metrics_sens_CoRA-Core_beta_hardness_0p0_ETTm1_hetero_h4.json,"[""C:\\Users\\Weilin\\AppData\\Local\\Programs\\Python\\Python312\\python.exe"", ""-u"", ""D:\\CoRA\\tools\\main_experiment_runner.py"", ""--data_root"", ""data_stress"", ""--dataset"", ""ETTm1"", ""--variant"", ""hetero_h4"", ""--seed"", ""1"", ""--device"", ""cuda"", ""--out_dir"", ""results\\fgcs_revision\\sensitivity\\gru\\seed_1\\ETTm1\\hetero_h4\\core_beta\\beta_hardness_0p0"", ""--tag"", ""sens_CoRA-Core_beta_hardness_0p0"", ""--backbone"", ""gru"", ""--rounds"", ""50"", ""--local_steps"", ""20"", ""--batch_size"", ""64"", ""--eval_every"", ""5"", ""--eval_split"", ""val"", ""--checkpoint_selection"", ""best_val_rmse_avg"", ""--beta_hardness"", ""0.0"", ""--h0"", ""1.0"", ""--rho"", ""0.6"", ""--T_part"", ""15"", ""--T_refresh"", ""5"", ""--K_min"", ""5"", ""--score_floor"", ""1e-9"", ""--stepalloc_min_steps"", ""15"", ""--stepalloc_max_steps"", ""25"", ""--stepalloc_power"", ""1.0"", ""--method"", ""cora_core""]",C:\Users\Weilin\AppData\Local\Programs\Python\Python312\python.exe -u D:\CoRA\tools\main_experiment_runner.py --data_root data_stress --dataset ETTm1 --variant hetero_h4 --seed 1 --device cuda --out_dir results\fgcs_revision\sensitivity\gru\seed_1\ETTm1\hetero_h4\core_beta\beta_hardness_0p0 --tag sens_CoRA-Core_beta_hardness_0p0 --backbone gru --rounds 50 --local_steps 20 --batch_size 64 --eval_every 5 --eval_split val --checkpoint_selection best_val_rmse_avg --beta_hardness 0.0 --h0 1.0 --rho 0.6 --T_part 15 --T_refresh 5 --K_min 5 --score_floor 1e-9 --stepalloc_min_steps 15 --stepalloc_max_steps 25 --stepalloc_power 1.0 --method cora_core,core_beta,beta_hardness,0.0,CoRA-Core,0.7,0
sensitivity,gru,2,ETTm1,hetero_h4,CoRA-Core_beta_hardness_0p0,cora_core,none,0.0,results\fgcs_revision\sensitivity\gru\seed_2\ETTm1\hetero_h4\core_beta\beta_hardness_0p0,results\fgcs_revision\sensitivity\gru\seed_2\ETTm1\hetero_h4\core_beta\beta_hardness_0p0\metrics_sens_CoRA-Core_beta_hardness_0p0_ETTm1_hetero_h4.json,"[""C:\\Users\\Weilin\\AppData\\Local\\Programs\\Python\\Python312\\python.exe"", ""-u"", ""D:\\CoRA\\tools\\main_experiment_runner.py"", ""--data_root"", ""data_stress"", ""--dataset"", ""ETTm1"", ""--variant"", ""hetero_h4"", ""--seed"", ""2"", ""--device"", ""cuda"", ""--out_dir"", ""results\\fgcs_revision\\sensitivity\\gru\\seed_2\\ETTm1\\hetero_h4\\core_beta\\beta_hardness_0p0"", ""--tag"", ""sens_CoRA-Core_beta_hardness_0p0"", ""--backbone"", ""gru"", ""--rounds"", ""50"", ""--local_steps"", ""20"", ""--batch_size"", ""64"", ""--eval_every"", ""5"", ""--eval_split"", ""val"", ""--checkpoint_selection"", ""best_val_rmse_avg"", ""--beta_hardness"", ""0.0"", ""--h0"", ""1.0"", ""--rho"", ""0.6"", ""--T_part"", ""15"", ""--T_refresh"", ""5"", ""--K_min"", ""5"", ""--score_floor"", ""1e-9"", ""--stepalloc_min_steps"", ""15"", ""--stepalloc_max_steps"", ""25"", ""--stepalloc_power"", ""1.0"", ""--method"", ""cora_core""]",C:\Users\Weilin\AppData\Local\Programs\Python\Python312\python.exe -u D:\CoRA\tools\main_experiment_runner.py --data_root data_stress --dataset ETTm1 --variant hetero_h4 --seed 2 --device cuda --out_dir results\fgcs_revision\sensitivity\gru\seed_2\ETTm1\hetero_h4\core_beta\beta_hardness_0p0 --tag sens_CoRA-Core_beta_hardness_0p0 --backbone gru --rounds 50 --local_steps 20 --batch_size 64 --eval_every 5 --eval_split val --checkpoint_selection best_val_rmse_avg --beta_hardness 0.0 --h0 1.0 --rho 0.6 --T_part 15 --T_refresh 5 --K_min 5 --score_floor 1e-9 --stepalloc_min_steps 15 --stepalloc_max_steps 25 --stepalloc_power 1.0 --method cora_core,core_beta,beta_hardness,0.0,CoRA-Core,0.7,0
sensitivity,gru,3,ETTm1,hetero_h4,CoRA-Core_beta_hardness_0p0,cora_core,none,0.0,results\fgcs_revision\sensitivity\gru\seed_3\ETTm1\hetero_h4\core_beta\beta_hardness_0p0,results\fgcs_revision\sensitivity\gru\seed_3\ETTm1\hetero_h4\core_beta\beta_hardness_0p0\metrics_sens_CoRA-Core_beta_hardness_0p0_ETTm1_hetero_h4.json,"[""C:\\Users\\Weilin\\AppData\\Local\\Programs\\Python\\Python312\\python.exe"", ""-u"", ""D:\\CoRA\\tools\\main_experiment_runner.py"", ""--data_root"", ""data_stress"", ""--dataset"", ""ETTm1"", ""--variant"", ""hetero_h4"", ""--seed"", ""3"", ""--device"", ""cuda"", ""--out_dir"", ""results\\fgcs_revision\\sensitivity\\gru\\seed_3\\ETTm1\\hetero_h4\\core_beta\\beta_hardness_0p0"", ""--tag"", ""sens_CoRA-Core_beta_hardness_0p0"", ""--backbone"", ""gru"", ""--rounds"", ""50"", ""--local_steps"", ""20"", ""--batch_size"", ""64"", ""--eval_every"", ""5"", ""--eval_split"", ""val"", ""--checkpoint_selection"", ""best_val_rmse_avg"", ""--beta_hardness"", ""0.0"", ""--h0"", ""1.0"", ""--rho"", ""0.6"", ""--T_part"", ""15"", ""--T_refresh"", ""5"", ""--K_min"", ""5"", ""--score_floor"", ""1e-9"", ""--stepalloc_min_steps"", ""15"", ""--stepalloc_max_steps"", ""25"", ""--stepalloc_power"", ""1.0"", ""--method"", ""cora_core""]",C:\Users\Weilin\AppData\Local\Programs\Python\Python312\python.exe -u D:\CoRA\tools\main_experiment_runner.py --data_root data_stress --dataset ETTm1 --variant hetero_h4 --seed 3 --device cuda --out_dir results\fgcs_revision\sensitivity\gru\seed_3\ETTm1\hetero_h4\core_beta\beta_hardness_0p0 --tag sens_CoRA-Core_beta_hardness_0p0 --backbone gru --rounds 50 --local_steps 20 --batch_size 64 --eval_every 5 --eval_split val --checkpoint_selection best_val_rmse_avg --beta_hardness 0.0 --h0 1.0 --rho 0.6 --T_part 15 --T_refresh 5 --K_min 5 --score_floor 1e-9 --stepalloc_min_steps 15 --stepalloc_max_steps 25 --stepalloc_power 1.0 --method cora_core,core_beta,beta_hardness,0.0,CoRA-Core,0.7,0
sensitivity,gru,4,ETTm1,hetero_h4,CoRA-Core_beta_hardness_0p0,cora_core,none,0.0,results\fgcs_revision\sensitivity\gru\seed_4\ETTm1\hetero_h4\core_beta\beta_hardness_0p0,results\fgcs_revision\sensitivity\gru\seed_4\ETTm1\hetero_h4\core_beta\beta_hardness_0p0\metrics_sens_CoRA-Core_beta_hardness_0p0_ETTm1_hetero_h4.json,"[""C:\\Users\\Weilin\\AppData\\Local\\Programs\\Python\\Python312\\python.exe"", ""-u"", ""D:\\CoRA\\tools\\main_experiment_runner.py"", ""--data_root"", ""data_stress"", ""--dataset"", ""ETTm1"", ""--variant"", ""hetero_h4"", ""--seed"", ""4"", ""--device"", ""cuda"", ""--out_dir"", ""results\\fgcs_revision\\sensitivity\\gru\\seed_4\\ETTm1\\hetero_h4\\core_beta\\beta_hardness_0p0"", ""--tag"", ""sens_CoRA-Core_beta_hardness_0p0"", ""--backbone"", ""gru"", ""--rounds"", ""50"", ""--local_steps"", ""20"", ""--batch_size"", ""64"", ""--eval_every"", ""5"", ""--eval_split"", ""val"", ""--checkpoint_selection"", ""best_val_rmse_avg"", ""--beta_hardness"", ""0.0"", ""--h0"", ""1.0"", ""--rho"", ""0.6"", ""--T_part"", ""15"", ""--T_refresh"", ""5"", ""--K_min"", ""5"", ""--score_floor"", ""1e-9"", ""--stepalloc_min_steps"", ""15"", ""--stepalloc_max_steps"", ""25"", ""--stepalloc_power"", ""1.0"", ""--method"", ""cora_core""]",C:\Users\Weilin\AppData\Local\Programs\Python\Python312\python.exe -u D:\CoRA\tools\main_experiment_runner.py --data_root data_stress --dataset ETTm1 --variant hetero_h4 --seed 4 --device cuda --out_dir results\fgcs_revision\sensitivity\gru\seed_4\ETTm1\hetero_h4\core_beta\beta_hardness_0p0 --tag sens_CoRA-Core_beta_hardness_0p0 --backbone gru --rounds 50 --local_steps 20 --batch_size 64 --eval_every 5 --eval_split val --checkpoint_selection best_val_rmse_avg --beta_hardness 0.0 --h0 1.0 --rho 0.6 --T_part 15 --T_refresh 5 --K_min 5 --score_floor 1e-9 --stepalloc_min_steps 15 --stepalloc_max_steps 25 --stepalloc_power 1.0 --method cora_core,core_beta,beta_hardness,0.0,CoRA-Core,0.7,0
sensitivity,gru,5,ETTm1,hetero_h4,CoRA-Core_beta_hardness_0p0,cora_core,none,0.0,results\fgcs_revision\sensitivity\gru\seed_5\ETTm1\hetero_h4\core_beta\beta_hardness_0p0,results\fgcs_revision\sensitivity\gru\seed_5\ETTm1\hetero_h4\core_beta\beta_hardness_0p0\metrics_sens_CoRA-Core_beta_hardness_0p0_ETTm1_hetero_h4.json,"[""C:\\Users\\Weilin\\AppData\\Local\\Programs\\Python\\Python312\\python.exe"", ""-u"", ""D:\\CoRA\\tools\\main_experiment_runner.py"", ""--data_root"", ""data_stress"", ""--dataset"", ""ETTm1"", ""--variant"", ""hetero_h4"", ""--seed"", ""5"", ""--device"", ""cuda"", ""--out_dir"", ""results\\fgcs_revision\\sensitivity\\gru\\seed_5\\ETTm1\\hetero_h4\\core_beta\\beta_hardness_0p0"", ""--tag"", ""sens_CoRA-Core_beta_hardness_0p0"", ""--backbone"", ""gru"", ""--rounds"", ""50"", ""--local_steps"", ""20"", ""--batch_size"", ""64"", ""--eval_every"", ""5"", ""--eval_split"", ""val"", ""--checkpoint_selection"", ""best_val_rmse_avg"", ""--beta_hardness"", ""0.0"", ""--h0"", ""1.0"", ""--rho"", ""0.6"", ""--T_part"", ""15"", ""--T_refresh"", ""5"", ""--K_min"", ""5"", ""--score_floor"", ""1e-9"", ""--stepalloc_min_steps"", ""15"", ""--stepalloc_max_steps"", ""25"", ""--stepalloc_power"", ""1.0"", ""--method"", ""cora_core""]",C:\Users\Weilin\AppData\Local\Programs\Python\Python312\python.exe -u D:\CoRA\tools\main_experiment_runner.py --data_root data_stress --dataset ETTm1 --variant hetero_h4 --seed 5 --device cuda --out_dir results\fgcs_revision\sensitivity\gru\seed_5\ETTm1\hetero_h4\core_beta\beta_hardness_0p0 --tag sens_CoRA-Core_beta_hardness_0p0 --backbone gru --rounds 50 --local_steps 20 --batch_size 64 --eval_every 5 --eval_split val --checkpoint_selection best_val_rmse_avg --beta_hardness 0.0 --h0 1.0 --rho 0.6 --T_part 15 --T_refresh 5 --K_min 5 --score_floor 1e-9 --stepalloc_min_steps 15 --stepalloc_max_steps 25 --stepalloc_power 1.0 --method cora_core,core_beta,beta_hardness,0.0,CoRA-Core,0.7,0
sensitivity,gru,6,ETTm1,hetero_h4,CoRA-Core_beta_hardness_0p0,cora_core,none,0.0,results\fgcs_revision\sensitivity\gru\seed_6\ETTm1\hetero_h4\core_beta\beta_hardness_0p0,results\fgcs_revision\sensitivity\gru\seed_6\ETTm1\hetero_h4\core_beta\beta_hardness_0p0\metrics_sens_CoRA-Core_beta_hardness_0p0_ETTm1_hetero_h4.json,"[""C:\\Users\\Weilin\\AppData\\Local\\Programs\\Python\\Python312\\python.exe"", ""-u"", ""D:\\CoRA\\tools\\main_experiment_runner.py"", ""--data_root"", ""data_stress"", ""--dataset"", ""ETTm1"", ""--variant"", ""hetero_h4"", ""--seed"", ""6"", ""--device"", ""cuda"", ""--out_dir"", ""results\\fgcs_revision\\sensitivity\\gru\\seed_6\\ETTm1\\hetero_h4\\core_beta\\beta_hardness_0p0"", ""--tag"", ""sens_CoRA-Core_beta_hardness_0p0"", ""--backbone"", ""gru"", ""--rounds"", ""50"", ""--local_steps"", ""20"", ""--batch_size"", ""64"", ""--eval_every"", ""5"", ""--eval_split"", ""val"", ""--checkpoint_selection"", ""best_val_rmse_avg"", ""--beta_hardness"", ""0.0"", ""--h0"", ""1.0"", ""--rho"", ""0.6"", ""--T_part"", ""15"", ""--T_refresh"", ""5"", ""--K_min"", ""5"", ""--score_floor"", ""1e-9"", ""--stepalloc_min_steps"", ""15"", ""--stepalloc_max_steps"", ""25"", ""--stepalloc_power"", ""1.0"", ""--method"", ""cora_core""]",C:\Users\Weilin\AppData\Local\Programs\Python\Python312\python.exe -u D:\CoRA\tools\main_experiment_runner.py --data_root data_stress --dataset ETTm1 --variant hetero_h4 --seed 6 --device cuda --out_dir results\fgcs_revision\sensitivity\gru\seed_6\ETTm1\hetero_h4\core_beta\beta_hardness_0p0 --tag sens_CoRA-Core_beta_hardness_0p0 --backbone gru --rounds 50 --local_steps 20 --batch_size 64 --eval_every 5 --eval_split val --checkpoint_selection best_val_rmse_avg --beta_hardness 0.0 --h0 1.0 --rho 0.6 --T_part 15 --T_refresh 5 --K_min 5 --score_floor 1e-9 --stepalloc_min_steps 15 --stepalloc_max_steps 25 --stepalloc_power 1.0 --method cora_core,core_beta,beta_hardness,0.0,CoRA-Core,0.7,0
sensitivity,gru,7,ETTm1,hetero_h4,CoRA-Core_beta_hardness_0p0,cora_core,none,0.0,results\fgcs_revision\sensitivity\gru\seed_7\ETTm1\hetero_h4\core_beta\beta_hardness_0p0,results\fgcs_revision\sensitivity\gru\seed_7\ETTm1\hetero_h4\core_beta\beta_hardness_0p0\metrics_sens_CoRA-Core_beta_hardness_0p0_ETTm1_hetero_h4.json,"[""C:\\Users\\Weilin\\AppData\\Local\\Programs\\Python\\Python312\\python.exe"", ""-u"", ""D:\\CoRA\\tools\\main_experiment_runner.py"", ""--data_root"", ""data_stress"", ""--dataset"", ""ETTm1"", ""--variant"", ""hetero_h4"", ""--seed"", ""7"", ""--device"", ""cuda"", ""--out_dir"", ""results\\fgcs_revision\\sensitivity\\gru\\seed_7\\ETTm1\\hetero_h4\\core_beta\\beta_hardness_0p0"", ""--tag"", ""sens_CoRA-Core_beta_hardness_0p0"", ""--backbone"", ""gru"", ""--rounds"", ""50"", ""--local_steps"", ""20"", ""--batch_size"", ""64"", ""--eval_every"", ""5"", ""--eval_split"", ""val"", ""--checkpoint_selection"", ""best_val_rmse_avg"", ""--beta_hardness"", ""0.0"", ""--h0"", ""1.0"", ""--rho"", ""0.6"", ""--T_part"", ""15"", ""--T_refresh"", ""5"", ""--K_min"", ""5"", ""--score_floor"", ""1e-9"", ""--stepalloc_min_steps"", ""15"", ""--stepalloc_max_steps"", ""25"", ""--stepalloc_power"", ""1.0"", ""--method"", ""cora_core""]",C:\Users\Weilin\AppData\Local\Programs\Python\Python312\python.exe -u D:\CoRA\tools\main_experiment_runner.py --data_root data_stress --dataset ETTm1 --variant hetero_h4 --seed 7 --device cuda --out_dir results\fgcs_revision\sensitivity\gru\seed_7\ETTm1\hetero_h4\core_beta\beta_hardness_0p0 --tag sens_CoRA-Core_beta_hardness_0p0 --backbone gru --rounds 50 --local_steps 20 --batch_size 64 --eval_every 5 --eval_split val --checkpoint_selection best_val_rmse_avg --beta_hardness 0.0 --h0 1.0 --rho 0.6 --T_part 15 --T_refresh 5 --K_min 5 --score_floor 1e-9 --stepalloc_min_steps 15 --stepalloc_max_steps 25 --stepalloc_power 1.0 --method cora_core,core_beta,beta_hardness,0.0,CoRA-Core,0.7,0
sensitivity,gru,8,ETTm1,hetero_h4,CoRA-Core_beta_hardness_0p0,cora_core,none,0.0,results\fgcs_revision\sensitivity\gru\seed_8\ETTm1\hetero_h4\core_beta\beta_hardness_0p0,results\fgcs_revision\sensitivity\gru\seed_8\ETTm1\hetero_h4\core_beta\beta_hardness_0p0\metrics_sens_CoRA-Core_beta_hardness_0p0_ETTm1_hetero_h4.json,"[""C:\\Users\\Weilin\\AppData\\Local\\Programs\\Python\\Python312\\python.exe"", ""-u"", ""D:\\CoRA\\tools\\main_experiment_runner.py"", ""--data_root"", ""data_stress"", ""--dataset"", ""ETTm1"", ""--variant"", ""hetero_h4"", ""--seed"", ""8"", ""--device"", ""cuda"", ""--out_dir"", ""results\\fgcs_revision\\sensitivity\\gru\\seed_8\\ETTm1\\hetero_h4\\core_beta\\beta_hardness_0p0"", ""--tag"", ""sens_CoRA-Core_beta_hardness_0p0"", ""--backbone"", ""gru"", ""--rounds"", ""50"", ""--local_steps"", ""20"", ""--batch_size"", ""64"", ""--eval_every"", ""5"", ""--eval_split"", ""val"", ""--checkpoint_selection"", ""best_val_rmse_avg"", ""--beta_hardness"", ""0.0"", ""--h0"", ""1.0"", ""--rho"", ""0.6"", ""--T_part"", ""15"", ""--T_refresh"", ""5"", ""--K_min"", ""5"", ""--score_floor"", ""1e-9"", ""--stepalloc_min_steps"", ""15"", ""--stepalloc_max_steps"", ""25"", ""--stepalloc_power"", ""1.0"", ""--method"", ""cora_core""]",C:\Users\Weilin\AppData\Local\Programs\Python\Python312\python.exe -u D:\CoRA\tools\main_experiment_runner.py --data_root data_stress --dataset ETTm1 --variant hetero_h4 --seed 8 --device cuda --out_dir results\fgcs_revision\sensitivity\gru\seed_8\ETTm1\hetero_h4\core_beta\beta_hardness_0p0 --tag sens_CoRA-Core_beta_hardness_0p0 --backbone gru --rounds 50 --local_steps 20 --batch_size 64 --eval_every 5 --eval_split val --checkpoint_selection best_val_rmse_avg --beta_hardness 0.0 --h0 1.0 --rho 0.6 --T_part 15 --T_refresh 5 --K_min 5 --score_floor 1e-9 --stepalloc_min_steps 15 --stepalloc_max_steps 25 --stepalloc_power 1.0 --method cora_core,core_beta,beta_hardness,0.0,CoRA-Core,0.7,0
sensitivity,gru,9,ETTm1,hetero_h4,CoRA-Core_beta_hardness_0p0,cora_core,none,0.0,results\fgcs_revision\sensitivity\gru\seed_9\ETTm1\hetero_h4\core_beta\beta_hardness_0p0,results\fgcs_revision\sensitivity\gru\seed_9\ETTm1\hetero_h4\core_beta\beta_hardness_0p0\metrics_sens_CoRA-Core_beta_hardness_0p0_ETTm1_hetero_h4.json,"[""C:\\Users\\Weilin\\AppData\\Local\\Programs\\Python\\Python312\\python.exe"", ""-u"", ""D:\\CoRA\\tools\\main_experiment_runner.py"", ""--data_root"", ""data_stress"", ""--dataset"", ""ETTm1"", ""--variant"", ""hetero_h4"", ""--seed"", ""9"", ""--device"", ""cuda"", ""--out_dir"", ""results\\fgcs_revision\\sensitivity\\gru\\seed_9\\ETTm1\\hetero_h4\\core_beta\\beta_hardness_0p0"", ""--tag"", ""sens_CoRA-Core_beta_hardness_0p0"", ""--backbone"", ""gru"", ""--rounds"", ""50"", ""--local_steps"", ""20"", ""--batch_size"", ""64"", ""--eval_every"", ""5"", ""--eval_split"", ""val"", ""--checkpoint_selection"", ""best_val_rmse_avg"", ""--beta_hardness"", ""0.0"", ""--h0"", ""1.0"", ""--rho"", ""0.6"", ""--T_part"", ""15"", ""--T_refresh"", ""5"", ""--K_min"", ""5"", ""--score_floor"", ""1e-9"", ""--stepalloc_min_steps"", ""15"", ""--stepalloc_max_steps"", ""25"", ""--stepalloc_power"", ""1.0"", ""--method"", ""cora_core""]",C:\Users\Weilin\AppData\Local\Programs\Python\Python312\python.exe -u D:\CoRA\tools\main_experiment_runner.py --data_root data_stress --dataset ETTm1 --variant hetero_h4 --seed 9 --device cuda --out_dir results\fgcs_revision\sensitivity\gru\seed_9\ETTm1\hetero_h4\core_beta\beta_hardness_0p0 --tag sens_CoRA-Core_beta_hardness_0p0 --backbone gru --rounds 50 --local_steps 20 --batch_size 64 --eval_every 5 --eval_split val --checkpoint_selection best_val_rmse_avg --beta_hardness 0.0 --h0 1.0 --rho 0.6 --T_part 15 --T_refresh 5 --K_min 5 --score_floor 1e-9 --stepalloc_min_steps 15 --stepalloc_max_steps 25 --stepalloc_power 1.0 --method cora_core,core_beta,beta_hardness,0.0,CoRA-Core,0.7,0
