file,suite,backbone,seed,dataset,variant,method_label,method_canonical,checkpoint_selection,checkpoint_round,rmse_avg,rmse_worst,mae_avg,mae_worst,rmse_micro,final_rmse_avg,final_rmse_worst,uplink_mb,runtime_sec_total,failure_mode,failure_rate,valid_return_rate,failed_return_rate,wasted_assigned_step_ratio,returned_assigned_step_ratio,empty_return_rounds,num_parameters,trainable_parameters
results\fgcs_revision\ablation\gru\seed_0\ETTm1\hetero_h4\metrics_CoRA-Core_ETTm1_hetero_h4.json,ablation,gru,0,ETTm1,hetero_h4,CoRA-Core,cora_core,best_val_rmse_avg,50,0.2985148895089761,0.5137940008478833,0.19942111762244344,0.32645728493338894,0.30772777567889803,0.2985148895089761,0.5137940008478833,120.70236206054688,81.75901590002468,none,0.0,1.0,0.0,0.0,1.0,0.0,40775.0,40775.0
results\fgcs_revision\ablation\gru\seed_0\ETTm1\hetero_h4\metrics_CoRA-StepAlloc_ETTm1_hetero_h4.json,ablation,gru,0,ETTm1,hetero_h4,CoRA-StepAlloc,cora_stepalloc,best_val_rmse_avg,50,0.29853896134984687,0.5140555260311727,0.19944238508513495,0.32843700281233784,0.30802273822986526,0.29853896134984687,0.5140555260311727,120.70236206054688,79.35731480002869,none,0.0,1.0,0.0,0.0,1.0,0.0,40775.0,40775.0
results\fgcs_revision\ablation\gru\seed_0\ETTm1\hetero_h4\metrics_NoEMA_ETTm1_hetero_h4.json,ablation,gru,0,ETTm1,hetero_h4,NoEMA,cora_core,best_val_rmse_avg,50,0.29864187945935294,0.5120600907121685,0.19973290950219708,0.3247083773796646,0.30761520755589156,0.29864187945935294,0.5120600907121685,120.70236206054688,79.711512400012,none,0.0,1.0,0.0,0.0,1.0,0.0,40775.0,40775.0
results\fgcs_revision\ablation\gru\seed_0\ETTm1\hetero_h4\metrics_NoRefresh_ETTm1_hetero_h4.json,ablation,gru,0,ETTm1,hetero_h4,NoRefresh,cora_core,best_val_rmse_avg,50,0.3001732151764375,0.5119658627934291,0.200860337459499,0.34350155493769075,0.3092620559834023,0.3001732151764375,0.5119658627934291,111.99188232421875,78.20815110002877,none,0.0,1.0,0.0,0.0,1.0,0.0,40775.0,40775.0
results\fgcs_revision\ablation\gru\seed_0\ETTm1\hetero_h4\metrics_NoWarmup_ETTm1_hetero_h4.json,ablation,gru,0,ETTm1,hetero_h4,NoWarmup,cora_core,best_val_rmse_avg,50,0.2979322925703873,0.5150617555446035,0.199151512396117,0.3309284821951487,0.30743862765901525,0.2979322925703873,0.5150617555446035,105.77011108398438,73.25225499999942,none,0.0,1.0,0.0,0.0,1.0,0.0,40775.0,40775.0
results\fgcs_revision\ablation\gru\seed_0\ETTm1\hetero_h4\metrics_Random_ETTm1_hetero_h4.json,ablation,gru,0,ETTm1,hetero_h4,Random,random,best_val_rmse_avg,50,0.2982998576703777,0.5173098351291058,0.19905640505546165,0.3501003551460564,0.30828039473113406,0.2982998576703777,0.5173098351291058,120.70236206054688,82.5561017,none,0.0,1.0,0.0,0.0,1.0,0.0,40775.0,40775.0
results\fgcs_revision\ablation\gru\seed_0\ETTm1\hetero_h4\metrics_Top-m_ETTm1_hetero_h4.json,ablation,gru,0,ETTm1,hetero_h4,Top-m,cora_topk,best_val_rmse_avg,50,0.30117088969514877,0.5068486839022203,0.202743501457089,0.3117188851878608,0.3082056590908077,0.30117088969514877,0.5068486839022203,120.70236206054688,84.46152980002807,none,0.0,1.0,0.0,0.0,1.0,0.0,40775.0,40775.0
results\fgcs_revision\ablation\gru\seed_0\ETTm1\mcar_p70\metrics_CoRA-Core_ETTm1_mcar_p70.json,ablation,gru,0,ETTm1,mcar_p70,CoRA-Core,cora_core,best_val_rmse_avg,50,0.4098367348613873,0.7131747253086066,0.29483173307457394,0.49062223711036146,0.42650520980594586,0.4098367348613873,0.7131747253086066,120.70236206054688,84.05561079998733,none,0.0,1.0,0.0,0.0,1.0,0.0,40775.0,40775.0
results\fgcs_revision\ablation\gru\seed_0\ETTm1\mcar_p70\metrics_CoRA-StepAlloc_ETTm1_mcar_p70.json,ablation,gru,0,ETTm1,mcar_p70,CoRA-StepAlloc,cora_stepalloc,best_val_rmse_avg,50,0.4106966223134757,0.7190823950043658,0.2955169549560745,0.49406076456338915,0.4278889174336747,0.4106966223134757,0.7190823950043658,120.70236206054688,81.93630399997346,none,0.0,1.0,0.0,0.0,1.0,0.0,40775.0,40775.0
results\fgcs_revision\ablation\gru\seed_0\ETTm1\mcar_p70\metrics_Random_ETTm1_mcar_p70.json,ablation,gru,0,ETTm1,mcar_p70,Random,random,best_val_rmse_avg,50,0.4106004238049854,0.739642100498767,0.29593909952799574,0.5066006191553584,0.42885977407816045,0.4106004238049854,0.739642100498767,120.70236206054688,83.54518269997789,none,0.0,1.0,0.0,0.0,1.0,0.0,40775.0,40775.0
