suite,backbone,dataset,variant,method_label,failure_mode,failure_rate,rmse_avg_mean,rmse_avg_std,rmse_avg_n,rmse_worst_mean,rmse_worst_std,rmse_worst_n,mae_avg_mean,mae_avg_std,mae_avg_n,mae_worst_mean,mae_worst_std,mae_worst_n,uplink_mb_mean,uplink_mb_std,uplink_mb_n,runtime_sec_total_mean,runtime_sec_total_std,runtime_sec_total_n,valid_return_rate_mean,valid_return_rate_std,valid_return_rate_n,wasted_assigned_step_ratio_mean,wasted_assigned_step_ratio_std,wasted_assigned_step_ratio_n,returned_assigned_step_ratio_mean,returned_assigned_step_ratio_std,returned_assigned_step_ratio_n,empty_return_rounds_mean,empty_return_rounds_std,empty_return_rounds_n,num_parameters_mean,num_parameters_std,num_parameters_n
ablation,gru,ETTm1,hetero_h4,CoRA-Core,none,0.0,0.29506347249962367,0.004027773519219017,10,0.497003665663467,0.01347514648463528,10,0.1975868225680581,0.003089476585558658,10,0.3169823332310607,0.014251759252881392,10,120.70236206054688,0.0,10,91.69017725000158,14.657198089713827,10,1.0,0.0,10,0.0,0.0,10,1.0,0.0,10,0.0,0.0,10,40775.0,0.0,10
ablation,gru,ETTm1,hetero_h4,CoRA-StepAlloc,none,0.0,0.2952577947509239,0.004022744467722762,10,0.49776646697945026,0.012486925181737506,10,0.19759584725541052,0.0031099199768254903,10,0.31899468781638424,0.014064099647267233,10,120.70236206054688,0.0,10,93.86865844000712,17.77295681045868,10,1.0,0.0,10,0.0,0.0,10,1.0,0.0,10,0.0,0.0,10,40775.0,0.0,10
ablation,gru,ETTm1,hetero_h4,NoEMA,none,0.0,0.2949942587855425,0.004036264641374861,10,0.4970388339651713,0.0130677842641367,10,0.1975730282361199,0.0031552314052405404,10,0.3166833707821127,0.013255927601825,10,120.70236206054688,0.0,10,94.26813288000412,17.202481158217754,10,1.0,0.0,10,0.0,0.0,10,1.0,0.0,10,0.0,0.0,10,40775.0,0.0,10
ablation,gru,ETTm1,hetero_h4,NoRefresh,none,0.0,0.29973757197485085,0.004903291803548364,10,0.49662841785116696,0.012107537949340195,10,0.20186529296494715,0.004092916202817875,10,0.3165680368505262,0.021302600179155064,10,111.99188232421875,0.0,10,88.10424110001186,15.725083608205395,10,1.0,0.0,10,0.0,0.0,10,1.0,0.0,10,0.0,0.0,10,40775.0,0.0,10
ablation,gru,ETTm1,hetero_h4,NoWarmup,none,0.0,0.2947646145193364,0.003952024291315398,10,0.4963486022617662,0.013351959618054254,10,0.19747483662662696,0.003082743917425574,10,0.3180005012776861,0.014917491737518128,10,105.77011108398438,0.0,10,84.87649570999784,15.305162150475528,10,1.0,0.0,10,0.0,0.0,10,1.0,0.0,10,0.0,0.0,10,40775.0,0.0,10
ablation,gru,ETTm1,hetero_h4,Random,none,0.0,0.29544825776399897,0.0037765166702438306,10,0.5026909577913244,0.010576058187551814,10,0.19781772838745407,0.003064167052195234,10,0.3296470770460283,0.014208533402660548,10,120.70236206054688,0.0,10,98.43012803000165,16.667298635479447,10,1.0,0.0,10,0.0,0.0,10,1.0,0.0,10,0.0,0.0,10,40775.0,0.0,10
ablation,gru,ETTm1,hetero_h4,Top-m,none,0.0,0.2977135327527736,0.004142797199439143,10,0.49542923288268464,0.017190042252020744,10,0.20077002799021626,0.0034763288886680826,10,0.3041451426525298,0.011171743972178811,10,120.70236206054688,0.0,10,94.1694589800085,15.394535752166021,10,1.0,0.0,10,0.0,0.0,10,1.0,0.0,10,0.0,0.0,10,40775.0,0.0,10
ablation,gru,ETTm1,mcar_p70,CoRA-Core,none,0.0,0.41010769589959556,0.005206103537912357,10,0.7115140493327691,0.019916077946613223,10,0.29373293111708876,0.004568154444373138,10,0.49330243653892014,0.015592621218107793,10,120.70236206054688,0.0,10,94.50821156999446,17.21261790778612,10,1.0,0.0,10,0.0,0.0,10,1.0,0.0,10,0.0,0.0,10,40775.0,0.0,10
ablation,gru,ETTm1,mcar_p70,CoRA-StepAlloc,none,0.0,0.41040488525174645,0.005160719929864463,10,0.7177681303224709,0.019346254613702728,10,0.29398289202422767,0.004524884453541471,10,0.49689628292887533,0.014744858484522479,10,120.70236206054688,0.0,10,94.77692445998545,17.459031709356275,10,1.0,0.0,10,0.0,0.0,10,1.0,0.0,10,0.0,0.0,10,40775.0,0.0,10
ablation,gru,ETTm1,mcar_p70,Random,none,0.0,0.4109247548982826,0.0050208352590787545,10,0.7375506188369418,0.013760137198732045,10,0.2941675647508482,0.004000727192928111,10,0.5083397665685098,0.013189005375571456,10,120.70236206054688,0.0,10,96.29266502999235,18.16407923922137,10,1.0,0.0,10,0.0,0.0,10,1.0,0.0,10,0.0,0.0,10,40775.0,0.0,10
ablation,gru,ETTm1,mcar_p70,Top-m,none,0.0,0.4131971200434966,0.005865810939109645,10,0.6804379731129087,0.027966254997590395,10,0.2975166525363932,0.005318391081569969,10,0.4795552134366125,0.023985609182559903,10,120.70236206054688,0.0,10,95.73305146999773,17.634062811584574,10,1.0,0.0,10,0.0,0.0,10,1.0,0.0,10,0.0,0.0,10,40775.0,0.0,10
backbone,saits,ETTm1,hetero_h4,CoRA-Core,none,0.0,0.22159872712248752,0.006675185411443713,10,0.35112976687629327,0.03495742832339241,10,0.15422628236573116,0.004945725595558484,10,0.21929245021341465,0.01644596227619705,10,207.35052490234375,0.0,10,293.3109477799968,1.8738352867480417,10,1.0,0.0,10,0.0,0.0,10,1.0,0.0,10,0.0,0.0,10,70046.0,0.0,10
